property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
processParameters.supercycleDesign.numberofSubcycles.[1].count.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.supercycleDesign.numberofSubcycles.[2].compound,2,6,2,"['GaOx', 'ZnO']",,
processParameters.supercycleDesign.numberofSubcycles.[2].count.quantityValue.numericValue,1,1,0,[],1.0,1.0
processParameters.supercycleDesign.subcycleSequence,2,23,5,"['Ga2O3', 'GaOx', 'In2O3', 'InOx', 'ZnO']",,
processParameters.temperature.quantityValue.numericValue,7,19,0,[],100.0,400.0
processParameters.thicknessControl.filmThickness.quantityValue.numericValue,1,3,0,[],50.0,50.0
processParameters.thicknessControl.saturation,1,3,0,[],1.0,1.0
reactantSelection.carrierGas,2,8,3,"['Argon (Ar)', 'Argon (Ar, 99.999%)', 'N2']",,
reactantSelection.coReactant.[0].coReactant,7,19,5,"['Ar/O2 plasma', 'O2 plasma', 'O2/Ar (plasma)', 'O3', 'O3 (ozone, 200 g/m3)']",,
reactantSelection.coReactant.[0].compound,7,19,5,"['Al2O3', 'In', 'In2O3', 'InOx', 'SiO2']",,
reactantSelection.coReactant.[1].coReactant,7,15,4,"['Ar/O2 plasma', 'H2O', 'O2 plasma', 'O2/Ar (plasma)']",,
reactantSelection.coReactant.[1].compound,7,15,6,"['Al2O3', 'Ga', 'Ga2O3', 'GaOx', 'IGZO', 'ZnO']",,
reactantSelection.coReactant.[2].coReactant,6,12,3,"['Ar/O2 plasma', 'O2 plasma', 'O2/Ar (plasma)']",,
reactantSelection.coReactant.[2].compound,6,12,5,"['GaOx', 'IGZO', 'Zn', 'ZnO', 'ZnOx']",,
reactantSelection.precursor.[0].compound,7,19,5,"['Al2O3', 'In', 'In2O3', 'InOx', 'SiO2']",,
reactantSelection.precursor.[0].precursor,7,19,8,"['(3-(dimethylamino)propyl)dimethylindium (DADI)', '(3-dimethylaminopropyl)dimethylindium (DADI)', 'DADI', 'DADI ((3-dimethylamimopropyl)dimethyl indium, DADI)', 'DADI (3-(Dimethylamino)-propyl dimethyl indium)', 'Diisopropyl-aminosilane (DIPAS)', 'TMA', 'trimethylaluminium (TMA)']",,
reactantSelection.precursor.[1].compound,7,15,6,"['Al2O3', 'Ga', 'Ga2O3', 'GaOx', 'IGZO', 'ZnO']",,
reactantSelection.precursor.[1].precursor,7,15,6,"['DADI', 'DEZ (diethylzinc)', 'TMGa', 'TMGa (trimethyl gallium)', 'Trimethylaluminum (TMA)', 'trimethylgallium (TMGa)']",,
reactantSelection.precursor.[2].compound,7,15,5,"['GaOx', 'IGZO', 'Zn', 'ZnO', 'ZnOx']",,
reactantSelection.precursor.[2].precursor,7,15,6,"['(3-dimethylaminopropyl)-dimethyl indium (DADI); trimethylgallium (TMGa); diethylzinc (DEZ)', 'DEZ', 'DEZ (diethyl zinc)', 'TMGa', 'TMGa (trimethylgallium)', 'diethylzinc (DEZ)']",,
reactantSelection.precursor.[3].compound,1,3,1,['IGZO'],,
reactantSelection.precursor.[3].precursor,1,3,1,['DEZ'],,
reactantSelection.purgingGas,3,13,3,"['Ar', 'Argon (Ar)', 'N2']",,
